"satisfaction","customer_type","age","travel_type","cabin_class","flight_distance","seat_comfort","time_convenient","food_drink","gate_location","wifi","entertainment","online_support","ease_booking","onboard_service","legroom","baggage","checkin","cleanliness","online_boarding","dep_delay","arr_delay","row_id","arr_delay_res","midfly_delay","log_mid_delay","log_dep_delay"
"dissatisfied","Loyal Customer",14,"Personal Travel","Eco",1063,1,3,1,4,2,1,5,2,5,5,4,1,5,2,4,8,3037,3.32713925246684,4,1.6094379124341,1.6094379124341
"dissatisfied","Loyal Customer",18,"Personal Travel","Eco",1816,1,4,0,2,4,0,4,4,2,3,3,2,2,4,3,6,3209,2.30598837259929,3,1.38629436111989,1.38629436111989
"dissatisfied","Loyal Customer",33,"Personal Travel","Eco Plus",2897,1,4,1,1,2,1,2,2,5,4,1,3,2,2,29,24,3388,-5.14408875084448,-5,-1.79175946922805,3.40119738166216
"dissatisfied","Loyal Customer",51,"Personal Travel","Eco",2045,1,4,1,1,4,1,4,4,4,5,4,4,4,4,17,24,3547,6.60210069074495,7,2.07944154167984,2.89037175789616
"satisfied","Loyal Customer",53,"Personal Travel","Eco",580,0,0,0,3,1,0,1,1,4,4,3,1,2,1,0,0,3551,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",58,"Personal Travel","Eco",318,0,0,0,3,4,4,4,3,3,3,2,3,3,5,9,38,3655,28.4328936518046,29,3.40119738166216,2.30258509299405
"dissatisfied","Loyal Customer",63,"Personal Travel","Eco",1745,1,4,1,1,2,1,1,2,5,5,5,3,5,2,0,0,3690,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",56,"Personal Travel","Business",1676,0,0,0,4,3,4,5,3,3,2,2,5,3,5,0,0,3739,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",39,"Personal Travel","Eco",3501,1,4,1,2,5,1,5,5,4,4,5,3,4,5,0,0,3745,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",45,"Personal Travel","Eco",1403,0,0,0,4,5,4,5,4,4,4,4,3,4,4,0,0,3761,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",53,"Personal Travel","Eco",709,0,0,0,5,5,1,4,5,5,5,5,4,5,5,0,2,3878,1.24253573299665,2,1.09861228866811,0
"satisfied","Loyal Customer",11,"Personal Travel","Eco",3394,0,4,0,3,3,5,3,5,5,5,5,2,5,5,0,0,4127,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",19,"Personal Travel","Eco",2235,0,4,0,4,2,4,4,5,5,5,5,5,5,4,15,22,4193,6.55979893100986,7,2.07944154167984,2.77258872223978
"dissatisfied","Loyal Customer",51,"Personal Travel","Eco Plus",1966,1,4,1,3,1,1,1,1,4,4,4,4,3,1,42,39,4231,-2.86912731256637,-3,-1.38629436111989,3.76120011569356
"dissatisfied","Loyal Customer",60,"Personal Travel","Eco",1936,1,4,1,3,3,1,3,3,2,4,3,2,3,3,1,0,4243,-1.7363133871358,-1,-0.693147180559945,0.693147180559945
"dissatisfied","Loyal Customer",36,"Personal Travel","Eco",2186,1,4,1,3,2,1,4,2,5,2,4,5,4,2,0,0,4254,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",58,"Personal Travel","Eco",2406,1,4,1,3,1,1,1,1,4,5,4,4,5,1,0,0,4261,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",58,"Personal Travel","Eco",2294,1,4,1,3,2,1,2,2,5,4,5,4,5,2,0,0,4308,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",39,"Personal Travel","Eco",1632,0,5,0,4,5,5,5,1,1,1,1,4,1,3,7,0,4407,-7.60940810793052,-7,-2.07944154167984,2.07944154167984
"satisfied","Loyal Customer",21,"Personal Travel","Eco",2322,1,1,1,1,4,4,5,1,1,2,1,3,1,3,0,0,4474,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",43,"Personal Travel","Eco",442,5,1,5,5,2,3,5,2,2,2,2,5,2,3,98,94,4574,-2.68467803998372,-4,-1.6094379124341,4.59511985013459
"dissatisfied","Loyal Customer",25,"Personal Travel","Eco",1878,1,4,1,3,4,1,4,4,1,4,4,4,3,4,0,0,4597,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",46,"Personal Travel","Eco Plus",1203,1,4,1,3,1,1,1,1,5,4,4,3,5,1,22,34,4677,11.7078550900827,12,2.56494935746154,3.13549421592915
"dissatisfied","Loyal Customer",51,"Personal Travel","Eco",1399,1,4,1,3,4,1,4,4,5,5,5,5,5,4,5,5,4703,-0.651709867665613,0,0,1.79175946922805
"dissatisfied","Loyal Customer",67,"Personal Travel","Eco",1928,1,4,1,3,4,1,4,4,3,5,4,5,4,4,3,0,4711,-3.69401162740071,-3,-1.38629436111989,1.38629436111989
"dissatisfied","Loyal Customer",65,"Personal Travel","Eco",2018,1,4,1,4,2,1,2,2,5,4,4,3,4,2,0,0,5064,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",63,"Personal Travel","Business",353,2,2,2,2,3,5,4,2,2,2,2,4,2,5,0,0,5187,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",45,"Personal Travel","Eco",1594,1,4,1,4,3,1,3,3,1,1,4,4,4,3,0,0,5202,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",66,"Personal Travel","Eco",1259,1,4,1,4,1,1,1,1,5,5,4,5,3,1,13,13,5254,-0.482502828725235,0,0,2.63905732961526
"satisfied","Loyal Customer",68,"Personal Travel","Eco",1940,2,2,2,2,2,5,5,2,2,2,2,5,2,3,0,0,5283,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",52,"Personal Travel","Business",400,1,4,1,5,3,4,5,5,5,1,5,4,5,5,0,0,5418,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",40,"Personal Travel","Eco",1478,2,5,5,5,2,2,2,2,4,2,1,5,5,2,0,3,5441,2.24253573299665,3,1.38629436111989,0
"dissatisfied","Loyal Customer",68,"Personal Travel","Eco Plus",1844,1,4,2,1,1,2,1,1,1,1,3,5,1,1,4,0,5477,-4.67286074753316,-4,-1.6094379124341,1.6094379124341
"satisfied","Loyal Customer",37,"Personal Travel","Eco",1705,2,2,2,2,5,4,5,2,2,2,2,5,2,3,0,0,5582,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",52,"Personal Travel","Eco",2364,1,5,0,3,3,0,2,3,5,1,1,4,3,3,10,18,5764,7.45404453167212,8,2.19722457733622,2.39789527279837
"dissatisfied","Loyal Customer",44,"Personal Travel","Eco",1852,1,5,0,4,5,0,2,5,4,5,5,5,4,5,13,21,5825,7.51749717127477,8,2.19722457733622,2.63905732961526
"satisfied","Loyal Customer",25,"Personal Travel","Eco",2913,2,3,3,3,2,3,2,2,4,4,5,3,2,2,37,21,5980,-15.9748817119041,-16,-2.83321334405622,3.63758615972639
"satisfied","Loyal Customer",26,"Personal Travel","Eco Plus",1547,1,1,1,1,2,4,4,3,3,3,3,3,3,5,12,20,6472,7.49634629140722,8,2.19722457733622,2.56494935746154
"dissatisfied","Loyal Customer",32,"Personal Travel","Business",1443,1,5,1,2,5,1,2,5,3,2,5,5,4,5,0,0,6474,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",11,"Personal Travel","Eco",1592,4,4,4,4,2,4,4,3,3,3,3,4,3,4,0,0,6539,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",19,"Personal Travel","Eco",1349,4,4,4,4,5,5,5,3,3,3,3,4,3,3,3,1,6611,-2.69401162740071,-2,-1.09861228866811,1.38629436111989
"dissatisfied","Loyal Customer",41,"Personal Travel","Eco",1094,1,5,1,2,2,1,1,2,3,2,4,4,5,2,44,43,6643,-0.826825552831269,-1,-0.693147180559945,3.80666248977032
"dissatisfied","Loyal Customer",64,"Personal Travel","Eco",2316,1,5,1,3,2,1,2,2,5,5,4,4,4,2,0,0,6768,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",52,"Personal Travel","Eco Plus",2600,1,5,1,3,2,1,2,2,5,4,5,4,4,2,0,0,6806,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",57,"Personal Travel","Eco",940,1,1,1,1,3,5,5,3,3,3,3,2,3,1,0,0,6844,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",25,"Personal Travel","Eco",2214,1,5,1,3,4,1,4,4,5,4,4,5,5,4,76,61,7008,-14.1499973970698,-15,-2.77258872223978,4.34380542185368
"dissatisfied","Loyal Customer",27,"Personal Travel","Eco",2175,1,5,1,4,5,1,5,5,3,3,5,4,4,5,5,27,7358,21.3482901323344,22,3.13549421592915,1.79175946922805
"satisfied","Loyal Customer",13,"Personal Travel","Eco",1659,3,3,1,3,5,5,5,3,3,4,3,4,3,4,0,6,7365,5.24253573299665,6,1.94591014905531,0
"satisfied","Loyal Customer",25,"Personal Travel","Eco",1850,1,1,1,1,3,4,3,3,3,2,5,5,4,3,0,0,7405,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",30,"Personal Travel","Eco Plus",1899,1,5,1,4,3,1,3,3,3,2,4,3,5,3,0,0,7563,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",10,"Personal Travel","Eco",4142,3,4,4,4,3,4,3,3,1,1,3,5,5,3,0,0,7594,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",20,"Personal Travel","Eco",1634,1,5,1,5,2,1,1,2,3,3,4,5,4,2,66,60,7674,-5.36150619574523,-6,-1.94591014905531,4.20469261939097
"dissatisfied","Loyal Customer",53,"Personal Travel","Eco",2320,1,5,2,1,2,2,2,2,1,2,2,5,2,2,4,3,7823,-1.67286074753316,-1,-0.693147180559945,1.6094379124341
"satisfied","Loyal Customer",65,"Personal Travel","Eco Plus",997,4,4,4,4,2,3,1,3,3,4,3,3,3,3,7,6,7833,-1.60940810793052,-1,-0.693147180559945,2.07944154167984
"satisfied","Loyal Customer",36,"Personal Travel","Eco",1581,3,3,1,3,3,4,3,3,1,1,4,4,2,3,0,0,8090,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",19,"Personal Travel","Eco",1809,2,0,2,2,5,2,5,5,5,5,5,4,4,5,2,13,8119,10.2848374927317,11,2.484906649788,1.09861228866811
"dissatisfied","Loyal Customer",36,"Personal Travel","Eco Plus",2100,2,0,2,3,4,2,4,4,5,3,5,3,4,4,6,5,8151,-1.63055898779807,-1,-0.693147180559945,1.94591014905531
"satisfied","Loyal Customer",70,"Personal Travel","Business",268,4,1,1,1,4,4,3,4,1,1,2,2,5,4,0,0,8193,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",27,"Personal Travel","Eco",1681,5,1,5,5,4,4,4,3,5,4,5,4,4,4,12,15,8339,2.49634629140722,3,1.38629436111989,2.56494935746154
"dissatisfied","Loyal Customer",35,"Personal Travel","Eco",2398,2,1,1,3,1,1,1,1,4,5,3,3,3,1,0,0,8382,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",26,"Personal Travel","Eco",2194,2,1,2,2,4,2,4,4,2,4,2,2,3,4,9,0,8477,-9.56710634819542,-9,-2.30258509299405,2.30258509299405
"dissatisfied","Loyal Customer",45,"Personal Travel","Eco",1891,2,1,2,2,4,2,4,4,1,4,2,1,2,4,0,11,8509,10.2425357329967,11,2.484906649788,0
"dissatisfied","Loyal Customer",38,"Personal Travel","Eco",1266,2,1,2,2,2,2,2,2,2,2,2,3,2,2,0,0,8589,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",22,"Personal Travel","Business",2125,2,1,2,3,3,2,3,3,3,3,4,2,3,3,3,0,8773,-3.69401162740071,-3,-1.38629436111989,1.38629436111989
"dissatisfied","Loyal Customer",29,"Personal Travel","Eco Plus",2480,2,1,2,3,1,2,1,1,4,4,4,4,4,1,15,5,8819,-10.4402010689901,-10,-2.39789527279837,2.77258872223978
"satisfied","Loyal Customer",28,"Personal Travel","Eco",2556,5,5,5,5,4,4,4,4,3,4,4,5,5,4,0,0,8826,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",62,"Personal Travel","Eco Plus",339,4,3,4,4,2,3,1,4,4,4,4,5,4,5,0,23,9335,22.2425357329967,23,3.17805383034795,0
"dissatisfied","Loyal Customer",25,"Personal Travel","Eco",1763,2,2,0,3,4,0,4,4,2,3,3,3,3,4,0,0,9352,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",52,"Personal Travel","Eco",802,3,3,3,3,3,5,4,4,4,4,4,4,4,5,1,0,9439,-1.7363133871358,-1,-0.693147180559945,0.693147180559945
"satisfied","Loyal Customer",58,"Personal Travel","Eco",992,1,1,1,1,5,4,4,4,4,4,4,4,4,4,0,0,9689,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",63,"Personal Travel","Eco Plus",2105,2,2,2,3,4,2,4,4,2,3,2,4,3,4,12,0,9735,-12.5036537085928,-12,-2.56494935746154,2.56494935746154
"satisfied","Loyal Customer",54,"Personal Travel","Eco",727,4,4,2,4,5,5,4,4,4,4,4,3,4,5,20,20,9754,-0.334446669652404,0,0,3.04452243772342
"dissatisfied","Loyal Customer",26,"Personal Travel","Eco",2058,2,2,2,3,5,2,5,5,4,1,3,3,4,5,0,0,9788,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",8,"Personal Travel","Eco",1691,4,4,4,4,4,4,5,4,4,4,4,5,4,3,8,0,10131,-8.58825722806297,-8,-2.19722457733622,2.19722457733622
"satisfied","Loyal Customer",56,"Personal Travel","Eco",980,3,5,3,3,4,4,4,4,5,2,5,5,4,4,7,0,10133,-7.60940810793052,-7,-2.07944154167984,2.07944154167984
"dissatisfied","Loyal Customer",61,"Personal Travel","Eco",1929,2,2,3,3,3,3,3,2,4,3,4,3,3,3,142,151,10413,11.2459606741884,9,2.30258509299405,4.96284463025991
"dissatisfied","Loyal Customer",47,"Personal Travel","Eco",1742,2,2,4,4,3,4,3,3,1,5,3,2,3,3,50,45,10441,-4.69992027362599,-5,-1.79175946922805,3.93182563272433
"satisfied","Loyal Customer",22,"Personal Travel","Eco",1602,5,5,3,5,3,4,5,4,4,4,4,3,4,3,0,0,10467,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",68,"Personal Travel","Eco",1464,2,2,3,2,2,5,3,4,4,4,4,4,4,1,50,55,10537,5.30007972637401,5,1.79175946922805,3.93182563272433
"dissatisfied","Loyal Customer",27,"Personal Travel","Eco Plus",1765,2,3,2,1,2,2,2,2,4,4,4,1,1,2,0,0,10585,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",69,"Personal Travel","Eco",485,1,1,1,1,4,4,4,4,5,4,5,2,2,4,0,0,11218,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",30,"Personal Travel","Eco",1956,2,3,2,3,2,2,2,2,3,3,4,2,4,2,3,0,11238,-3.69401162740071,-3,-1.38629436111989,1.38629436111989
"satisfied","Loyal Customer",50,"Personal Travel","Eco",414,4,4,4,4,5,4,5,4,4,4,4,3,4,4,15,3,11250,-12.4402010689901,-12,-2.56494935746154,2.77258872223978
"satisfied","Loyal Customer",62,"Personal Travel","Eco",281,5,5,5,5,3,4,5,4,4,4,4,5,4,5,0,0,11307,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",22,"Personal Travel","Eco",978,2,3,2,3,4,2,4,4,1,5,4,3,3,4,0,25,11328,24.2425357329967,25,3.25809653802148,0
"satisfied","Loyal Customer",52,"Personal Travel","Eco",898,5,5,5,5,2,4,4,4,4,4,4,3,4,5,0,30,11486,29.2425357329967,30,3.43398720448515,0
"dissatisfied","Loyal Customer",60,"Personal Travel","Business",823,2,3,2,4,4,3,3,4,4,2,4,1,4,3,0,0,11495,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",68,"Personal Travel","Eco",651,3,3,3,3,4,4,4,4,3,2,5,5,4,4,17,19,11536,1.60210069074495,2,1.09861228866811,2.89037175789616
"dissatisfied","Loyal Customer",68,"Personal Travel","Eco",1574,2,3,2,4,1,2,5,1,4,4,5,3,1,1,0,18,11544,17.2425357329967,18,2.94443897916644,0
"satisfied","Loyal Customer",28,"Personal Travel","Eco",1734,5,5,5,5,4,2,4,4,4,4,4,4,4,5,16,7,11564,-9.41905018912259,-9,-2.30258509299405,2.83321334405622
"dissatisfied","Loyal Customer",46,"Personal Travel","Eco Plus",2463,2,3,3,4,5,3,5,5,3,1,4,3,3,5,2,29,11802,26.2848374927317,27,3.3322045101752,1.09861228866811
"satisfied","Loyal Customer",11,"Personal Travel","Eco",1856,5,5,5,5,3,4,5,4,4,4,4,3,4,5,0,2,11993,1.24253573299665,2,1.09861228866811,0
"satisfied","Loyal Customer",40,"Personal Travel","Eco",3783,2,2,2,2,2,4,4,4,4,4,4,3,4,3,0,0,12003,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",20,"Personal Travel","Eco",1984,2,2,2,2,5,4,5,4,4,4,4,5,4,4,0,0,12080,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",12,"Personal Travel","Eco",2905,4,4,4,4,5,4,5,4,4,4,4,4,4,5,26,0,12343,-26.2075413904471,-26,-3.29583686600433,3.29583686600433
"dissatisfied","Loyal Customer",12,"Personal Travel","Eco",1576,2,4,2,1,3,2,4,3,4,2,3,4,2,3,1,4,12416,2.2636866128642,3,1.38629436111989,0.693147180559945
"dissatisfied","Loyal Customer",53,"Personal Travel","Eco",1837,2,4,2,1,3,2,1,3,5,4,4,1,4,3,0,0,12432,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",66,"Personal Travel","Business",703,2,4,2,1,5,4,5,3,3,2,3,5,3,4,0,0,12442,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",51,"Personal Travel","Eco",2738,2,4,2,2,1,2,1,1,4,5,4,5,4,1,49,39,12882,-9.72107115349354,-10,-2.39789527279837,3.91202300542815
"dissatisfied","Loyal Customer",49,"Personal Travel","Eco",2456,2,4,2,2,3,2,3,3,5,3,5,4,5,3,0,0,12935,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",60,"Personal Travel","Eco",343,3,3,3,3,5,4,5,4,4,4,4,4,4,5,0,0,13335,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",48,"Personal Travel","Business",330,2,2,5,2,4,4,4,4,4,1,5,3,3,4,0,2,13343,1.24253573299665,2,1.09861228866811,0
"satisfied","Loyal Customer",33,"Personal Travel","Eco Plus",2018,1,1,1,1,2,4,5,4,4,4,4,3,4,3,0,6,13361,5.24253573299665,6,1.94591014905531,0
"dissatisfied","Loyal Customer",56,"Personal Travel","Eco",4362,2,4,2,3,2,2,2,2,4,5,5,5,5,2,0,0,13438,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",24,"Personal Travel","Eco Plus",2707,3,3,3,3,3,5,1,4,4,4,4,5,4,2,0,0,13589,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",52,"Personal Travel","Eco",731,5,5,5,5,2,5,4,4,4,4,4,4,4,3,8,4,13928,-4.58825722806297,-4,-1.6094379124341,2.19722457733622
"satisfied","Loyal Customer",7,"Personal Travel","Eco",1985,5,5,5,5,1,3,5,4,4,4,4,3,4,5,3,41,14415,37.3059883725993,38,3.66356164612965,1.38629436111989
"dissatisfied","Loyal Customer",51,"Personal Travel","Eco",4392,2,4,2,4,2,2,2,3,2,4,2,2,1,2,170,165,14611,-2.1618146895203,-5,-1.79175946922805,5.14166355650266
"satisfied","Loyal Customer",26,"Personal Travel","Business",2515,5,5,3,5,2,3,4,4,4,4,4,4,4,3,0,0,14719,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",49,"Personal Travel","Eco",2561,2,4,2,4,2,4,4,3,2,4,5,4,4,4,343,338,14834,1.49728752756534,-5,-1.79175946922805,5.8406416573734
"dissatisfied","Loyal Customer",31,"Personal Travel","Eco",1642,2,4,2,4,2,2,2,2,5,5,4,3,4,2,0,0,14898,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",64,"Personal Travel","Eco",2142,2,4,2,4,5,2,1,5,5,3,5,4,5,5,0,0,15000,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",29,"Personal Travel","Eco",1512,2,4,2,4,3,2,3,3,2,2,4,4,4,3,0,0,15034,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",27,"Personal Travel","Eco",1472,1,1,1,1,5,4,5,4,4,4,4,3,4,4,4,0,15266,-4.67286074753316,-4,-1.6094379124341,1.6094379124341
"dissatisfied","Loyal Customer",69,"Personal Travel","Eco",2717,2,4,2,5,2,3,2,4,3,4,5,2,3,2,95,159,15531,65.2518693204137,64,4.17438726989564,4.56434819146784
"dissatisfied","Loyal Customer",62,"Personal Travel","Eco Plus",2065,2,4,2,5,1,2,1,1,5,3,4,3,5,1,0,0,15723,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",53,"Personal Travel","Eco",2337,2,4,3,3,4,3,5,4,2,2,1,3,1,4,73,94,15863,21.7865499633276,21,3.09104245335832,4.30406509320417
"satisfied","Loyal Customer",23,"Personal Travel","Eco",1778,4,4,4,4,3,5,5,4,4,4,4,1,4,3,0,0,16014,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",17,"Personal Travel","Eco",1378,2,5,0,3,1,0,5,1,2,2,5,2,3,1,0,0,16126,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",11,"Personal Travel","Eco",1376,2,5,0,4,3,0,3,3,2,1,4,1,4,3,0,0,16133,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",65,"Personal Travel","Eco",3251,2,5,1,3,1,1,1,5,4,3,4,1,4,1,0,7,16228,6.24253573299665,7,2.07944154167984,0
"satisfied","Loyal Customer",62,"Personal Travel","Eco",2582,4,4,4,4,1,2,5,4,4,4,4,4,4,2,32,31,16325,-1.08063611124184,-1,-0.693147180559945,3.49650756146648
"satisfied","Loyal Customer",8,"Personal Travel","Eco",1130,3,3,3,3,2,5,4,4,4,4,4,4,4,4,61,73,16728,12.532739404917,12,2.56494935746154,4.12713438504509
"satisfied","Loyal Customer",30,"Personal Travel","Eco Plus",2048,5,5,5,5,4,1,1,4,4,4,4,5,4,1,0,0,16760,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",15,"Personal Travel","Eco Plus",1625,2,5,2,1,3,2,3,3,3,4,4,3,5,3,42,25,16846,-16.8691273125664,-17,-2.89037175789616,3.76120011569356
"dissatisfied","Loyal Customer",39,"Personal Travel","Eco",1107,2,5,2,1,4,2,4,4,5,2,4,3,5,4,25,18,16881,-7.22869227031467,-7,-2.07944154167984,3.25809653802148
"satisfied","Loyal Customer",34,"Personal Travel","Eco",1933,4,1,1,1,4,4,4,4,3,2,1,5,3,4,30,34,16903,3.87706212902307,4,1.6094379124341,3.43398720448515
"satisfied","Loyal Customer",37,"Personal Travel","Business",2080,5,5,5,5,2,4,4,4,4,4,4,4,4,5,0,0,16947,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",31,"Personal Travel","Eco",3386,3,3,3,3,5,4,5,4,4,4,4,3,4,5,15,1,16958,-14.4402010689901,-14,-2.70805020110221,2.77258872223978
"satisfied","Loyal Customer",17,"Personal Travel","Eco",2955,5,5,5,5,4,4,4,4,4,4,4,3,4,3,0,4,17063,3.24253573299665,4,1.6094379124341,0
"satisfied","Loyal Customer",59,"Personal Travel","Eco",1014,4,3,3,3,4,4,4,4,1,5,4,2,3,4,0,0,17091,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",41,"Personal Travel","Eco Plus",833,5,5,5,5,5,5,4,4,4,4,4,4,4,4,7,24,17169,16.3905918920695,17,2.89037175789616,2.07944154167984
"dissatisfied","Loyal Customer",10,"Personal Travel","Eco",2337,2,5,2,2,4,2,3,4,3,2,4,5,4,4,0,0,17173,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",42,"Personal Travel","Eco",707,1,1,1,1,2,1,1,4,4,4,4,3,4,4,27,0,17206,-27.1863905105796,-27,-3.3322045101752,3.3322045101752
"satisfied","Loyal Customer",21,"Personal Travel","Eco",1180,4,4,4,4,4,4,4,4,1,5,2,5,5,4,0,0,17498,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",22,"Personal Travel","Eco Plus",2626,2,5,2,3,5,2,5,5,3,3,4,5,5,5,0,0,17614,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",29,"Personal Travel","Eco Plus",3078,5,5,5,5,5,4,5,4,4,4,4,4,4,4,0,0,17639,-0.757464267003349,0,0,0
