"satisfaction","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Seat.comfort","Departure.Arrival.time.convenient","Food.and.drink","Gate.location","Inflight.wifi.service","Inflight.entertainment","Online.support","Ease.of.Online.booking","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Cleanliness","Online.boarding","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","structural_zero_flag","ArrivalDelay.Residual"
"satisfied","Loyal Customer",17,"Personal Travel","Eco",1662,5,4,5,3,3,5,3,3,3,4,3,2,4,3,0,22,FALSE,21.2425357329967
"dissatisfied","Loyal Customer",50,"Personal Travel","Eco",1549,1,3,1,3,3,1,3,3,2,3,3,4,2,3,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",13,"Personal Travel","Eco",2715,0,0,0,1,2,1,2,3,3,3,2,3,3,4,0,3,TRUE,2.24253573299665
"satisfied","Loyal Customer",16,"Personal Travel","Eco",1897,0,0,0,1,3,4,4,2,2,2,2,4,2,5,27,20,TRUE,-7.18639051057957
"dissatisfied","Loyal Customer",70,"Personal Travel","Business",2025,1,4,0,3,0,1,1,3,2,4,3,1,1,1,153,143,TRUE,-7.52137964726861
"dissatisfied","Loyal Customer",58,"Personal Travel","Eco",1302,1,4,0,4,2,0,2,2,3,3,4,2,4,2,2,7,TRUE,4.28483749273174
"satisfied","Loyal Customer",64,"Personal Travel","Eco",1138,0,0,0,2,2,4,4,2,2,2,1,3,2,4,28,14,TRUE,-14.165239630712
"satisfied","Loyal Customer",67,"Personal Travel","Eco",1155,0,0,0,2,4,5,2,3,3,1,1,4,3,5,49,57,TRUE,8.27892884650646
"satisfied","Loyal Customer",70,"Personal Travel","Eco",1001,0,0,0,2,4,4,4,4,3,4,4,4,5,4,27,41,TRUE,13.8136094894204
"satisfied","Loyal Customer",68,"Personal Travel","Eco",1014,0,0,0,2,3,5,3,1,1,1,1,4,1,1,0,0,TRUE,-0.757464267003349
"dissatisfied","Loyal Customer",55,"Personal Travel","Eco",2017,1,4,1,1,5,1,2,5,5,5,4,5,5,5,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",63,"Personal Travel","Eco",899,1,4,1,1,4,1,5,4,3,3,5,3,5,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",69,"Personal Travel","Eco",3093,1,4,1,2,1,5,5,5,2,5,5,5,3,5,259,265,FALSE,10.7206136186914
"satisfied","Loyal Customer",60,"Personal Travel","Eco",1449,0,4,0,3,5,4,5,2,2,2,2,4,2,4,0,4,TRUE,3.24253573299665
"satisfied","Loyal Customer",20,"Personal Travel","Eco",2140,0,5,0,1,4,4,5,5,5,5,5,3,5,4,0,0,TRUE,-0.757464267003349
"dissatisfied","Loyal Customer",52,"Personal Travel","Eco",1949,1,4,1,3,4,1,5,4,3,2,4,3,5,4,19,10,FALSE,-9.35559754951995
"dissatisfied","Loyal Customer",45,"Personal Travel","Eco",2167,1,4,1,3,1,1,1,1,4,3,1,4,3,1,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",14,"Personal Travel","Eco",1467,2,2,2,2,5,5,4,2,2,2,2,5,2,5,29,34,FALSE,4.85591124915552
"satisfied","Loyal Customer",27,"Personal Travel","Eco",3728,5,5,5,5,2,1,3,2,2,2,2,5,2,3,28,0,FALSE,-28.165239630712
"dissatisfied","Loyal Customer",38,"Personal Travel","Eco",1985,1,4,1,4,1,1,1,1,5,3,5,3,4,1,14,10,FALSE,-4.46135194885769
"satisfied","Loyal Customer",23,"Personal Travel","Eco",1718,5,5,5,5,2,2,2,2,5,4,4,4,4,2,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",40,"Personal Travel","Eco",1465,1,4,1,4,2,1,2,2,1,4,4,1,4,2,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",29,"Personal Travel","Eco",1578,1,4,1,5,2,1,2,2,4,4,4,5,4,2,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",42,"Personal Travel","Eco",3377,1,4,2,2,5,2,1,5,3,2,5,5,2,5,1,0,FALSE,-1.7363133871358
"satisfied","Loyal Customer",12,"Personal Travel","Eco",2934,3,3,1,3,2,2,2,2,4,3,5,4,4,2,0,7,FALSE,6.24253573299665
"dissatisfied","Loyal Customer",26,"Personal Travel","Eco",3348,1,5,0,3,0,5,5,5,3,4,3,5,1,5,196,169,TRUE,-23.6118918129641
"satisfied","Loyal Customer",38,"Personal Travel","Eco Plus",2583,4,4,5,4,2,2,2,2,3,4,4,5,4,2,26,21,FALSE,-5.20754139044712
"satisfied","Loyal Customer",27,"Personal Travel","Eco",2421,2,3,3,3,2,3,2,2,1,4,5,3,1,2,5,0,FALSE,-5.65170986766561
"satisfied","Loyal Customer",62,"Personal Travel","Eco",831,3,5,5,5,4,4,4,2,2,3,2,2,2,3,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",31,"Personal Travel","Eco",1720,1,5,1,1,1,1,1,1,5,2,4,4,4,1,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",53,"Personal Travel","Eco",775,2,2,2,2,5,4,5,2,2,3,2,4,2,3,0,6,FALSE,5.24253573299665
"satisfied","Loyal Customer",8,"Personal Travel","Eco",2019,4,4,4,4,5,5,4,3,3,3,3,4,3,3,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",26,"Personal Travel","Eco",1600,3,5,5,5,4,5,1,3,3,3,3,5,3,4,7,3,FALSE,-4.60940810793052
"dissatisfied","Loyal Customer",14,"Personal Travel","Eco",1871,1,5,1,1,5,1,4,5,5,2,4,3,5,5,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",22,"Personal Travel","Eco Plus",916,3,3,5,3,3,4,5,3,3,3,3,5,3,4,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",39,"Personal Travel","Business",277,4,4,4,4,5,4,5,3,3,3,3,5,3,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",68,"Personal Travel","Eco Plus",1554,1,5,1,2,5,1,5,5,3,4,4,5,4,5,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",23,"Personal Travel","Eco",1487,1,5,1,2,1,1,1,1,1,1,2,2,3,1,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",26,"Personal Travel","Eco",1972,4,4,4,4,5,4,5,3,3,3,3,3,3,5,28,26,FALSE,-2.16523963071203
"satisfied","Loyal Customer",20,"Personal Travel","Eco",1812,1,1,1,1,2,5,5,3,3,3,3,3,3,5,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",23,"Personal Travel","Eco",1696,2,2,2,2,3,3,3,3,5,5,4,3,5,3,56,42,FALSE,-13.5730149944207
"satisfied","Loyal Customer",33,"Personal Travel","Eco",3370,2,2,1,2,3,4,4,3,3,3,3,4,3,3,112,97,FALSE,-13.3885657218381
"dissatisfied","Loyal Customer",32,"Personal Travel","Eco",2893,1,5,1,4,1,4,4,3,3,4,5,4,3,4,141,116,FALSE,-22.7751902056792
"dissatisfied","Loyal Customer",9,"Personal Travel","Eco",3121,1,5,1,4,1,1,1,1,3,5,4,4,5,1,12,18,FALSE,5.49634629140722
"dissatisfied","Loyal Customer",21,"Personal Travel","Eco",2855,1,5,1,4,1,2,2,5,3,5,5,2,3,2,156,253,FALSE,99.542072992334
"satisfied","Loyal Customer",47,"Personal Travel","Eco Plus",710,4,4,4,4,3,5,5,3,3,4,3,3,3,3,17,18,FALSE,0.602100690744955
"dissatisfied","Loyal Customer",41,"Personal Travel","Eco",5264,1,5,1,5,1,3,5,3,3,5,4,5,3,5,5,2,FALSE,-3.65170986766561
"dissatisfied","Loyal Customer",54,"Personal Travel","Eco",2600,1,5,1,5,5,1,5,5,1,4,5,5,5,5,4,0,FALSE,-4.67286074753316
"dissatisfied","Loyal Customer",40,"Personal Travel","Eco",1803,1,5,2,1,1,2,1,1,3,5,4,3,5,1,27,12,FALSE,-15.1863905105796
"dissatisfied","Loyal Customer",29,"Personal Travel","Eco",1950,1,5,2,3,1,2,1,1,4,2,3,5,1,1,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",67,"Personal Travel","Eco",1201,1,1,1,1,5,3,4,3,3,4,3,5,3,4,12,5,FALSE,-7.50365370859278
"dissatisfied","Loyal Customer",40,"Personal Travel","Eco",1756,2,0,0,1,0,3,2,4,2,5,5,2,5,2,114,155,TRUE,42.653736037897
"satisfied","Loyal Customer",43,"Personal Travel","Eco",116,4,4,4,4,5,4,4,3,3,4,3,4,3,3,3,5,FALSE,1.30598837259929
"satisfied","Loyal Customer",48,"Personal Travel","Eco",556,4,4,4,4,2,1,4,4,4,4,3,4,4,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",7,"Personal Travel","Eco",2678,2,1,2,1,2,2,2,2,3,5,1,1,2,2,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",29,"Personal Travel","Eco",1722,2,1,2,3,4,2,4,4,3,3,3,4,3,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",59,"Personal Travel","Business",687,2,1,2,3,4,3,3,3,3,2,3,2,3,1,0,11,FALSE,10.2425357329967
"satisfied","Loyal Customer",14,"Personal Travel","Eco Plus",1357,3,5,3,3,4,4,4,4,4,3,4,5,4,4,14,18,FALSE,3.53864805114231
"dissatisfied","Loyal Customer",49,"Personal Travel","Eco",1563,2,1,2,3,2,2,5,2,3,5,4,4,3,2,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",62,"Personal Travel","Business",70,5,5,5,5,5,4,5,4,4,4,4,3,4,3,16,13,FALSE,-3.41905018912259
"satisfied","Loyal Customer",48,"Personal Travel","Eco",356,1,1,2,1,5,5,4,4,4,4,4,3,4,5,1,0,FALSE,-1.7363133871358
"dissatisfied","Loyal Customer",19,"Personal Travel","Eco",1386,2,1,2,4,1,2,1,1,4,5,4,2,3,1,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",12,"Personal Travel","Eco",1874,1,1,1,1,4,4,4,4,4,4,4,5,4,5,3,25,FALSE,21.3059883725993
"dissatisfied","Loyal Customer",25,"Personal Travel","Eco",1895,2,2,1,3,2,1,5,2,2,4,4,2,4,2,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",9,"Personal Travel","Eco",2453,5,5,5,5,4,4,4,4,2,5,2,2,4,4,52,45,FALSE,-6.65761851389089
"satisfied","Loyal Customer",9,"Personal Travel","Eco",3503,3,3,1,3,4,4,4,4,4,4,4,5,4,3,46,33,FALSE,-12.7845237930962
"dissatisfied","Loyal Customer",23,"Personal Travel","Eco",2534,2,2,2,3,4,2,4,4,3,4,4,2,3,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",12,"Personal Travel","Eco",1859,2,2,2,3,1,2,2,1,1,2,3,2,4,1,57,35,FALSE,-21.5518641145532
"dissatisfied","Loyal Customer",32,"Personal Travel","Eco",1635,2,2,2,3,4,2,4,4,4,3,3,4,4,4,20,1,FALSE,-19.3344466696524
"satisfied","Loyal Customer",24,"Personal Travel","Eco",1620,4,5,5,5,4,4,4,4,4,5,5,5,4,4,69,59,FALSE,-9.29805355614259
"dissatisfied","Loyal Customer",65,"Personal Travel","Business",467,2,2,2,3,2,2,3,3,3,2,5,2,3,1,0,2,FALSE,1.24253573299665
"satisfied","Loyal Customer",70,"Personal Travel","Eco",223,4,4,4,4,1,5,4,4,4,4,4,4,4,2,0,4,FALSE,3.24253573299665
"satisfied","Loyal Customer",67,"Personal Travel","Eco",221,3,3,3,3,4,2,1,4,4,4,4,5,4,4,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",13,"Personal Travel","Eco",2016,3,3,3,3,4,4,4,4,2,4,2,4,4,4,0,26,FALSE,25.2425357329967
"dissatisfied","Loyal Customer",54,"Personal Travel","Eco",2337,2,2,2,4,2,2,2,2,1,4,3,2,4,2,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",61,"Personal Travel","Eco",1491,2,2,2,4,1,2,1,1,1,1,4,2,4,1,47,49,FALSE,2.23662708677137
"satisfied","Loyal Customer",13,"Personal Travel","Eco",1912,3,3,3,3,4,4,4,4,3,3,5,3,5,4,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",57,"Personal Travel","Eco",617,5,3,5,5,3,5,4,4,4,4,4,4,4,3,19,33,FALSE,13.64440245048
"satisfied","Loyal Customer",48,"Personal Travel","Eco",455,2,2,2,2,4,4,4,4,1,2,3,5,5,4,4,3,FALSE,-1.67286074753316
"satisfied","Loyal Customer",42,"Personal Travel","Eco",523,1,1,1,1,1,4,2,4,4,4,4,5,4,1,89,98,FALSE,10.1249640412084
"dissatisfied","Loyal Customer",30,"Personal Travel","Business",1600,2,3,2,3,5,2,5,5,1,1,1,3,4,5,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",28,"Personal Travel","Eco",1890,3,3,5,3,4,4,4,4,5,3,4,3,5,4,39,17,FALSE,-21.932579952169
"dissatisfied","Loyal Customer",36,"Personal Travel","Eco",2396,2,3,2,4,2,1,5,3,4,3,4,5,1,5,133,143,FALSE,12.0556027553804
"satisfied","Loyal Customer",19,"Personal Travel","Eco",1868,1,1,1,1,2,5,4,4,4,4,4,3,4,4,35,34,FALSE,-1.0171834716392
"dissatisfied","Loyal Customer",57,"Personal Travel","Eco",2169,2,3,3,3,2,3,2,2,5,5,5,1,1,2,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",51,"Personal Travel","Eco",409,4,1,5,1,4,4,4,4,3,5,5,4,5,4,2,3,FALSE,0.284837492731745
"satisfied","Loyal Customer",17,"Personal Travel","Eco",1856,3,3,3,3,2,4,3,4,4,4,4,1,4,1,11,11,FALSE,-0.524804588460329
"dissatisfied","Loyal Customer",20,"Personal Travel","Eco",1934,2,4,0,4,4,0,4,4,2,1,3,1,3,4,38,59,TRUE,21.0462691679634
"dissatisfied","Loyal Customer",12,"Personal Travel","Eco",2240,2,4,1,1,5,1,5,5,2,4,2,5,2,5,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",59,"Personal Travel","Eco",633,5,5,5,5,5,5,4,4,4,4,4,5,4,5,17,13,FALSE,-4.39789930925505
"dissatisfied","Loyal Customer",51,"Personal Travel","Eco",4111,2,4,1,5,4,1,4,4,3,4,5,5,4,4,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",60,"Personal Travel","Eco",1177,3,3,5,3,4,4,4,4,2,4,5,4,5,4,0,9,FALSE,8.24253573299665
"dissatisfied","Loyal Customer",25,"Personal Travel","Business",2473,2,4,2,1,5,2,2,5,3,3,4,4,5,5,25,14,FALSE,-11.2286922703147
"satisfied","Loyal Customer",29,"Personal Travel","Eco",2026,3,3,3,3,3,3,5,4,4,4,4,5,4,3,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",67,"Personal Travel","Eco",1870,2,4,2,1,3,2,3,3,3,2,5,5,4,3,17,28,FALSE,10.602100690745
"satisfied","Loyal Customer",22,"Personal Travel","Eco",2131,5,5,5,5,4,4,5,4,4,4,4,3,4,3,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",59,"Personal Travel","Eco",529,4,4,4,4,4,4,5,4,4,4,4,4,4,5,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",26,"Personal Travel","Eco",2257,2,4,2,1,2,2,2,2,3,3,5,4,4,2,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",68,"Personal Travel","Business",412,2,4,2,1,3,2,4,2,2,2,2,1,2,2,12,10,FALSE,-2.50365370859278
"dissatisfied","Loyal Customer",37,"Personal Travel","Eco",1523,2,4,2,1,1,2,1,1,5,4,4,4,4,1,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",11,"Personal Travel","Eco",2076,4,4,4,4,3,4,5,4,4,4,4,3,4,4,8,1,FALSE,-7.58825722806297
"dissatisfied","Loyal Customer",22,"Personal Travel","Eco",1767,2,4,2,2,2,2,2,2,5,2,5,3,4,2,0,10,FALSE,9.24253573299665
"satisfied","Loyal Customer",58,"Personal Travel","Eco",621,4,4,4,4,3,2,4,4,4,4,4,4,4,5,1,0,FALSE,-1.7363133871358
"dissatisfied","Loyal Customer",62,"Personal Travel","Eco",1787,2,4,2,2,5,2,5,5,3,2,4,4,4,5,0,11,FALSE,10.2425357329967
"satisfied","Loyal Customer",53,"Personal Travel","Eco Plus",245,5,5,5,5,3,5,5,4,4,4,4,5,4,5,27,19,FALSE,-8.18639051057957
"satisfied","Loyal Customer",42,"Personal Travel","Eco",2466,2,2,2,2,5,5,4,4,4,4,4,5,4,4,31,35,FALSE,3.89821300889062
"satisfied","Loyal Customer",62,"Personal Travel","Eco",1242,4,4,4,4,4,4,4,4,4,4,4,3,4,5,26,4,FALSE,-22.2075413904471
"dissatisfied","Loyal Customer",40,"Personal Travel","Eco",2202,2,4,2,3,4,2,4,4,4,2,3,2,4,4,31,19,FALSE,-12.1017869911094
"dissatisfied","Loyal Customer",35,"Personal Travel","Eco",2181,2,4,2,3,3,2,4,3,3,2,5,5,4,3,29,18,FALSE,-11.1440887508445
"satisfied","Loyal Customer",42,"Personal Travel","Eco",1041,1,1,1,1,2,5,4,4,4,4,4,4,4,5,4,19,FALSE,14.3271392524668
"dissatisfied","Loyal Customer",26,"Personal Travel","Eco",2032,2,4,2,3,3,2,3,3,4,4,5,4,5,3,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",55,"Personal Travel","Eco",528,5,5,5,5,4,4,4,4,4,4,4,3,4,4,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",52,"Personal Travel","Eco Plus",864,5,5,5,5,4,5,4,4,4,4,4,4,4,5,58,50,FALSE,-7.53071323468562
"dissatisfied","Loyal Customer",12,"Personal Travel","Eco",2167,2,4,2,4,4,2,4,4,1,1,3,1,4,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",64,"Personal Travel","Eco",2142,2,4,2,4,5,2,1,5,5,3,5,4,5,5,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",31,"Personal Travel","Eco",1635,1,1,1,1,5,5,5,4,4,4,4,3,4,4,8,16,FALSE,7.41174277193703
"satisfied","Loyal Customer",29,"Personal Travel","Eco",1134,4,4,2,4,3,4,5,4,4,4,4,3,4,3,55,63,FALSE,8.40583412571175
"satisfied","Loyal Customer",49,"Personal Travel","Business",387,3,3,3,3,5,5,4,4,4,4,4,5,4,5,19,13,FALSE,-6.35559754951995
"dissatisfied","Loyal Customer",32,"Personal Travel","Eco",1210,2,4,2,4,5,2,5,5,2,1,4,2,2,5,42,35,FALSE,-6.86912731256637
"satisfied","Loyal Customer",30,"Personal Travel","Eco",1314,1,1,3,1,2,5,5,4,4,4,4,3,4,4,0,23,FALSE,22.2425357329967
"satisfied","Loyal Customer",36,"Personal Travel","Eco",1070,1,1,1,1,4,4,4,4,5,4,4,5,5,4,13,6,FALSE,-7.48250282872523
"dissatisfied","Loyal Customer",56,"Personal Travel","Eco",2660,2,4,2,5,2,2,2,2,5,5,5,4,4,2,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",38,"Personal Travel","Eco",1511,2,4,2,5,3,2,3,3,4,3,5,4,4,3,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",39,"Personal Travel","Eco",2044,2,4,3,1,3,3,3,3,4,2,4,5,5,3,45,26,FALSE,-18.8056746729637
"dissatisfied","Loyal Customer",31,"Personal Travel","Eco",1664,2,4,3,3,4,3,4,4,5,2,4,5,5,4,20,19,FALSE,-1.3344466696524
"satisfied","Loyal Customer",45,"Personal Travel","Eco Plus",533,3,3,3,3,5,5,4,4,4,4,4,3,4,5,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",24,"Personal Travel","Eco",2872,2,5,2,1,4,2,4,4,5,2,5,3,2,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",58,"Personal Travel","Eco",2834,2,5,2,1,5,2,2,5,4,2,3,4,4,5,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",34,"Personal Travel","Eco Plus",3015,2,5,2,1,5,2,5,5,3,5,4,3,4,5,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",61,"Personal Travel","Eco",860,3,3,4,3,5,4,5,4,4,4,4,3,4,3,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",40,"Personal Travel","Eco",2083,3,3,3,3,4,5,5,4,4,4,4,3,4,5,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",35,"Personal Travel","Eco",1613,2,5,2,1,1,2,1,1,5,4,4,3,5,1,0,3,FALSE,2.24253573299665
"dissatisfied","Loyal Customer",42,"Personal Travel","Eco Plus",1685,2,5,2,1,3,2,3,3,3,4,5,4,4,3,6,14,FALSE,7.36944101220193
"satisfied","Loyal Customer",38,"Personal Travel","Eco",2029,4,4,4,4,2,4,4,4,4,4,4,3,4,3,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",45,"Personal Travel","Eco Plus",546,1,1,1,1,5,4,5,4,4,4,4,5,4,3,14,20,FALSE,5.53864805114231
"satisfied","Loyal Customer",44,"Personal Travel","Eco",489,4,4,4,4,5,3,5,4,4,4,4,1,4,4,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",17,"Personal Travel","Eco",1913,4,3,3,3,5,5,4,4,4,4,4,3,4,1,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",64,"Personal Travel","Eco",264,4,4,4,4,5,5,5,4,4,4,4,5,4,3,59,49,FALSE,-9.50956235481807
"dissatisfied","Loyal Customer",56,"Personal Travel","Eco",1672,2,5,2,2,4,2,5,4,4,3,5,5,2,4,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",24,"Personal Travel","Eco",970,4,4,4,4,1,4,3,4,4,4,4,1,4,4,0,5,FALSE,4.24253573299665
"dissatisfied","Loyal Customer",56,"Personal Travel","Eco",2501,2,5,2,3,1,2,1,1,5,3,5,3,5,1,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",31,"Personal Travel","Eco",3171,3,3,3,3,2,4,5,4,4,4,4,5,4,4,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",29,"Personal Travel","Eco",2243,3,1,3,3,4,5,5,4,4,4,4,5,4,4,0,34,FALSE,33.2425357329967
"satisfied","Loyal Customer",9,"Personal Travel","Eco Plus",2725,1,1,1,1,2,5,5,4,4,4,4,4,4,5,13,9,FALSE,-4.48250282872523
"dissatisfied","Loyal Customer",7,"Personal Travel","Eco",1871,2,5,2,3,3,2,3,3,5,5,5,5,4,3,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",57,"Personal Travel","Eco",895,4,4,4,4,3,4,5,4,4,4,4,3,4,3,36,15,FALSE,-20.9960325917716
"dissatisfied","Loyal Customer",48,"Personal Travel","Eco",2292,2,5,2,3,2,2,2,2,5,4,2,5,5,2,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",8,"Personal Travel","Eco Plus",1790,2,5,2,3,1,2,4,1,4,2,5,5,5,1,0,8,FALSE,7.24253573299665
"satisfied","Loyal Customer",23,"Personal Travel","Eco",1951,2,2,2,2,3,4,5,4,4,4,4,4,4,4,25,42,FALSE,16.7713077296853
